Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,characteristic for,contains measurements of type,entity related,has base qualifier,has context,has measurement,has member,has next qualifier,has observed relation,has qualifier,has source unit,has target unit,has unit,has value,http://creativecommons.org/ns#license,http://data.bioontology.org/metadata/prefixIRI,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasCode,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasMultiplier,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasOffset,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasPower,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasPrecision,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#hasPrefixMultiplier,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#sameConceptAs,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#sameConceptAsClass,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#similarConceptAs,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#similarConceptAsClass,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#standardFor,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#usesMethod,measurement for,measures characteristic,measures entity,measures using protocol,measures using standard,of characteristic,of entity,uses protocol,uses standard
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#Charge,Charge,,,false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic,,,,,,,,,,,,,,,,Charge,,,,,,,,,,,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#DerivedUnit,Derived Unit,,"A derived unit raises a base or prefixed unit to an integer power other than 0 or 1. For example, the unit 'square meter' is a unit derived from the 'meter' base unit raised to the power 2. As another example, a 'square centimeter' is a unit derived from the 'centimeter' prefixed unit raised to the power 2.

BRL 20160601: I removed this restriction so that CompositeUnits like XXXPerLiter would not reason to owl:Nothing. hasUnit exactly 1 (BaseUnit or PrefixedUnit)",false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#Unit,,,,,,,,,,,,,,,,oboe-core:DerivedUnit,,,,,,,,,,,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#SpecificVolume,SpecificVolume,,,false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic,,,,,,,,,,,,,,,,SpecificVolume,,,,,,,,,,,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Candela,Candela,,"The candela is the SI base unit of luminous intensity, i.e., the power emitted by a light source in a particular direction, weighted by the luminosity function (a standardized model of the sensitivity of the human eye to different wavelengths).",false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit,,,,,,,,,,,,,,,,Candela,,,,,,,,,,,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#NauticalMile,NauticalMile,,,false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#BaseUnit,,,,,,,,,,,,,,,,NauticalMile,,,,,,,,,,,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#HectometerToMeter,HectometerToMeter,,,false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion,,,,,,,,,,,,,,,,HectometerToMeter,,,,,,,,,,,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#CelsiusToKelvin,CelsiusToKelvin,,,false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#UnitConversion,,,,,,,,,,,,,,,,CelsiusToKelvin,,,,,,,,,,,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#MilliliterPerLIter,MilliliterPerLIter,,A unit of concentration used for liquid-liquid solutions or for mixtures of gasses and of gasses and liquids.,false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#CompositeUnit,,,,,,,,,,,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-standards.owl#Milliliter,,,MilliliterPerLIter,,,,,,,,,,,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#MagneticFlux,MagneticFlux,,,false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic,,,,,,,,,,,,,,,,MagneticFlux,,,,,,,,,,,,,,,,,,,,,
http://ecoinformatics.org/oboe/oboe.1.2/oboe-characteristics.owl#SpecificEnergy,SpecificEnergy,,,false,,,http://ecoinformatics.org/oboe/oboe.1.2/oboe-core.owl#MeasuredCharacteristic,,,,,,,,,,,,,,,,SpecificEnergy,,,,,,,,,,,,,,,,,,,,,
